SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalSpend,TenureYears,AvgMonthlySpend
-0.4399164931309761,-1.2774445836787658,-1.160322916034919,-0.9942419353101232,-0.6010234796064695,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1.234135445343241,-1.2774445836787656,-1.160322916034919
-0.4399164931309761,0.0663274190822356,-0.2596289419448805,-0.1732441257495936,-0.6010234796064695,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,-0.26507464115729,0.06632741908223558,-0.2596289419448805
-0.4399164931309761,-1.2367242199587354,-0.3626603559551802,-0.959674071202044,1.6638285090871447,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.20057638452314314,-1.2367242199587352,-0.3626603559551802
-0.4399164931309761,0.51425142000257,-0.7465354629935548,-0.194766263364777,-0.6010234796064695,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,-0.6316977927289384,0.5142514200025697,-0.7465354629935548
-0.4399164931309761,-1.2367242199587354,0.1973652331008032,-0.9404697022531112,1.6638285090871447,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.49190135353972786,-1.2367242199587352,0.1973652331008032
-0.4399164931309761,-0.9924020376385532,1.1595456961969886,-0.6451859741727949,1.6638285090871447,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,-1.398394105950037,-0.992402037638553,1.1595456961969886
-0.4399164931309761,-0.4223169455581282,0.8089065291619364,-0.14679948896704,-0.6010234796064695,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,-0.5894131007283872,-0.4223169455581281,0.8089065291619364
-0.4399164931309761,-0.9109613101984924,-1.1636465100352518,-0.8741373704237511,-0.6010234796064695,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.8119970009785377,-0.9109613101984921,-1.1636465100352518
-0.4399164931309761,-0.1779947632379461,1.330710787214099,0.3373492744317471,1.6638285090871447,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,-0.4846757877061062,-0.17799476323794605,1.330710787214099
-0.4399164931309761,1.206497603243086,-0.2862176939475386,0.5324391741681479,-0.6010234796064695,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.593118488561435,1.2064976032430856,-0.2862176939475386
-0.4399164931309761,-0.7888002190384015,-0.4922805219681378,-0.7480728289670203,-0.6010234796064695,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.14038690661462358,-0.7888002190384013,-0.4922805219681378
-0.4399164931309761,-0.6666391278783104,-1.522594662071134,-0.8631445247495343,-0.6010234796064695,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0.7669889943603676,-0.6666391278783101,-1.522594662071134
-0.4399164931309761,1.043616148362965,1.182810854199314,1.5006704790038297,-0.6010234796064695,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,0.9863304821035946,1.0436161483629647,1.182810854199314
-0.4399164931309761,0.6771328748826914,1.2941512532104444,1.2160043388136703,1.6638285090871447,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,0.6283041023555741,0.6771328748826912,1.2941512532104444
-0.4399164931309761,-0.3001558543980371,1.3539759452164248,0.1784165658888543,-0.6010234796064695,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,-0.6541907968026403,-0.300155854398037,1.3539759452164248
-0.4399164931309761,1.4915401492832987,1.611554480242174,2.478128710529918,-0.6010234796064695,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,2.1554264825808533,1.4915401492832983,1.611554480242174
-0.4399164931309761,0.7992939660427824,-1.4660935640654862,-0.5558083996047153,-0.6010234796064695,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,-1.419494693281134,0.7992939660427821,-1.4660935640654862
-0.4399164931309761,1.572980876723359,1.393859073220412,2.251693748830891,-0.6010234796064695,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,1.9442783685027962,1.5729808767233586,1.393859073220412
-0.4399164931309761,-0.9109613101984924,-0.3177918369506948,-0.774164281952812,1.6638285090871447,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.04158903660433014,-0.9109613101984921,-0.3177918369506948
-0.4399164931309761,-0.4630373092781585,0.8404806721650928,-0.1849874869919295,-0.6010234796064695,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,-0.636963871196471,-0.46303730927815834,0.8404806721650928
2.273158691738958,-1.2774445836787658,-0.8346107040023593,-0.9899154337997887,1.6638285090871447,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,0.8181279171430603,-1.2774445836787656,-0.8346107040023593
-0.4399164931309761,-0.8295205827584318,-1.4943441130683104,-0.9181308271079156,-0.6010234796064695,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0.9915182786766858,-0.8295205827584314,-1.4943441130683104
-0.4399164931309761,-1.2774445836787658,-1.4827115340671475,-0.9985242888458624,1.6638285090871447,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,1.6458979987658697,-1.2774445836787656,-1.4827115340671475
-0.4399164931309761,1.043616148362965,-0.1615829189350792,0.5400105518112329,-0.6010234796064695,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,-0.4164585490739028,1.0436161483629647,-0.1615829189350792
-0.4399164931309761,0.6771328748826914,-0.1715537009360758,0.3039071836758467,-0.6010234796064695,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-0.3640017065533167,0.6771328748826912,-0.1715537009360758
-0.4399164931309761,-0.0965540357978854,-0.3144682429503627,-0.3316912065719389,-0.6010234796064695,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.21749915363013173,-0.09655403579788538,-0.3144682429503627
-0.4399164931309761,0.5956921474426307,1.1495749141959914,1.0892334297634156,1.6638285090871447,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0.4368175297930408,0.5956921474426305,1.1495749141959914
-0.4399164931309761,-1.2774445836787658,-1.1486903370337564,-0.99408741739904,1.6638285090871447,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.2192780336218063,-1.2774445836787656,-1.1486903370337564
-0.4399164931309761,1.6137012404433897,0.8471278601657575,1.804563062130219,-0.6010234796064695,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,1.1189183778566496,1.6137012404433893,0.8471278601657575
-0.4399164931309761,-0.6259187641582801,-0.0020504069191300996,-0.5248385954261489,1.6638285090871447,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,-0.2465739272432273,-0.62591876415828,-0.0020504069191301013
2.273158691738958,1.572980876723359,1.0498670941860242,1.9800512611463297,-0.6010234796064695,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,1.4032789012291722,1.5729808767233586,1.0498670941860242
2.273158691738958,-1.2367242199587354,1.0216165451832002,-0.9272253098745368,-0.6010234796064695,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,-1.5110970748429446,-1.2367242199587352,1.0216165451832002
-0.4399164931309761,-0.2187151269579764,0.0461417060856861,-0.1798883959261784,-0.6010234796064695,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,-0.25794724229867116,-0.21871512695797635,0.0461417060856861
-0.4399164931309761,-1.2774445836787658,-1.481049737066981,-0.9985022148585648,-0.6010234796064695,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,1.643775511377093,-1.2774445836787656,-1.481049737066981
2.273158691738958,-1.2774445836787658,-0.6484894399837534,-0.9874431472224552,-0.6010234796064695,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5804093296000995,-1.2774445836787656,-0.6484894399837534
-0.4399164931309761,1.6137012404433897,1.1678546811978192,2.1940585679967946,-0.6010234796064695,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,1.6363863691416376,1.6137012404433893,1.1678546811978192
-0.4399164931309761,-1.1145631287986444,0.1641292930974807,-0.8675151742344638,1.6638285090871447,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.4307579969623721,-1.1145631287986442,0.1641292930974807
-0.4399164931309761,0.5549717837226003,0.3336325871144251,0.5590824768363802,-0.6010234796064695,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,-0.06273236122568984,0.5549717837226001,0.3336325871144251
